"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 30, 2021","570.27","563.35","573.36","563.09","61.51K","1.23%"
"Aug 27, 2021","563.35","559.04","564.87","550.78","49.43K","0.72%"
"Aug 26, 2021","559.31","564.33","568.95","556.10","62.05K","-0.47%"
"Aug 25, 2021","561.93","550.35","561.93","543.95","39.36K","1.60%"
"Aug 24, 2021","553.07","553.12","567.13","547.93","60.29K","-0.04%"
"Aug 23, 2021","553.27","553.27","563.09","552.61","75.61K","-0.01%"
"Aug 20, 2021","553.35","573.97","576.82","546.32","124.41K","-3.52%"
"Aug 19, 2021","573.51","575.09","579.19","571.56","68.49K","-0.27%"
"Aug 18, 2021","575.09","571.94","578.10","568.11","71.57K","0.59%"
"Aug 17, 2021","571.74","573.96","577.29","568.58","87.02K","-0.39%"
"Aug 16, 2021","573.96","558.78","573.96","558.78","82.78K","2.72%"
"Aug 13, 2021","558.78","551.44","558.78","543.09","83.67K","1.33%"
"Aug 12, 2021","551.44","551.44","557.73","549.12","75.82K","0.00%"
"Aug 11, 2021","551.44","551.36","560.81","551.06","74.43K","0.29%"
"Aug 10, 2021","549.87","537.30","551.43","537.30","92.04K","2.35%"
"Aug 09, 2021","537.25","526.01","539.09","522.83","74.39K","2.05%"
"Aug 06, 2021","526.46","526.92","534.31","525.41","78.73K","-0.09%"
"Aug 05, 2021","526.92","519.96","528.56","515.64","81.03K","1.39%"
"Aug 04, 2021","519.71","520.36","528.31","516.09","64.99K","-0.07%"
"Aug 03, 2021","520.06","509.22","520.06","507.26","62.54K","2.09%"
"Aug 02, 2021","509.40","503.85","513.46","501.37","60.99K","1.10%"
"Jul 30, 2021","503.85","494.31","503.85","494.31","59.58K","1.93%"
"Jul 29, 2021","494.31","482.49","494.31","482.11","54.21K","2.45%"
"Jul 28, 2021","482.49","482.48","484.01","475.94","35.85K","0.00%"
"Jul 27, 2021","482.48","475.20","486.08","469.68","50.56K","1.53%"
"Jul 26, 2021","475.20","470.18","475.78","464.48","42.82K","1.07%"
"Jul 23, 2021","470.18","478.35","479.74","470.18","48.71K","-1.71%"
"Jul 22, 2021","478.35","467.81","480.40","466.85","50.94K","2.28%"
"Jul 21, 2021","467.68","469.11","476.44","466.22","31.10K","-0.22%"
"Jul 20, 2021","468.73","452.19","468.73","446.77","55.87K","3.40%"
"Jul 19, 2021","453.32","480.64","480.64","452.84","71.96K","-5.71%"
"Jul 16, 2021","480.77","480.54","487.12","480.27","64.48K","0.05%"
"Jul 15, 2021","480.54","465.77","480.54","461.26","61.94K","3.17%"
"Jul 14, 2021","465.77","468.92","472.83","456.60","57.57K","-0.67%"
"Jul 13, 2021","468.92","457.81","470.32","456.64","62.67K","2.05%"
"Jul 12, 2021","459.52","477.83","479.95","444.98","116.74K","-3.83%"
"Jul 09, 2021","477.83","495.07","497.68","476.80","73.57K","-3.48%"
"Jul 08, 2021","495.07","497.98","503.74","492.23","58.04K","-0.62%"
"Jul 07, 2021","498.17","493.17","499.44","480.78","87.04K","1.01%"
"Jul 06, 2021","493.17","517.86","523.63","493.17","103.37K","-4.77%"
"Jul 05, 2021","517.86","521.96","523.32","508.96","91.65K","-0.74%"
"Jul 02, 2021","521.72","515.97","524.15","515.97","89.32K","1.19%"
"Jul 01, 2021","515.59","508.17","516.18","504.57","95.69K","1.46%"
"Jun 30, 2021","508.17","510.32","512.22","506.27","63.68K","-0.42%"
"Jun 29, 2021","510.30","510.44","515.13","507.82","87.47K","-0.10%"
"Jun 28, 2021","510.80","505.19","511.56","505.19","84.06K","1.16%"
"Jun 25, 2021","504.93","496.74","504.93","495.14","66.87K","1.65%"
"Jun 24, 2021","496.74","498.26","502.07","494.29","55.10K","-0.27%"
"Jun 23, 2021","498.07","502.09","505.05","496.04","75.99K","-0.80%"
"Jun 22, 2021","502.09","502.62","512.30","502.09","83.04K","-0.03%"
"Jun 21, 2021","502.24","505.52","509.51","500.19","78.57K","-0.65%"
"Jun 18, 2021","505.52","502.61","509.50","501.10","78.45K","0.58%"
"Jun 17, 2021","502.61","493.34","502.84","484.85","99.58K","1.88%"
"Jun 16, 2021","493.34","499.34","505.14","493.34","118.49K","-1.20%"
"Jun 15, 2021","499.34","498.59","505.98","496.87","93.40K","-0.05%"
"Jun 14, 2021","499.57","494.03","505.87","494.03","99.78K","1.09%"
"Jun 11, 2021","494.16","481.31","501.92","481.31","99.64K","2.67%"
"Jun 10, 2021","481.31","492.01","492.60","481.08","79.67K","-2.17%"
"Jun 09, 2021","492.01","474.09","492.43","465.99","99.11K","3.78%"
"Jun 08, 2021","474.09","506.39","509.22","466.91","152.18K","-5.15%"
"Jun 07, 2021","499.84","515.27","519.51","493.98","142.54K","-2.99%"
"Jun 04, 2021","515.27","512.24","515.45","504.21","123.94K","0.59%"
"Jun 03, 2021","512.24","500.20","517.27","499.23","134.90K","2.41%"
"Jun 02, 2021","500.20","493.17","500.20","487.18","110.99K","1.47%"
"Jun 01, 2021","492.97","493.64","502.06","487.80","125.27K","-0.12%"
"May 31, 2021","493.56","477.08","494.14","472.89","118.23K","3.67%"
"May 28, 2021","476.11","460.18","476.98","460.18","113.99K","3.25%"
"May 27, 2021","461.11","459.56","464.60","453.54","91.34K","0.30%"
"May 26, 2021","459.75","457.63","462.42","456.09","90.60K","0.51%"
"May 25, 2021","457.42","453.52","461.36","453.42","76.24K","0.86%"
"May 24, 2021","453.52","447.12","453.53","447.12","67.44K","1.44%"
"May 21, 2021","447.06","442.80","451.56","440.06","80.84K","0.96%"
"May 20, 2021","442.80","441.43","444.45","438.89","75.99K","0.49%"
